id;Nodo origen;Nodo destino;Tipo relacion;frecuencia;detalle;id_flujo;descripcion_flujo;secuencia_flujo;cypher

1;GestorBO;Salesforce;DIARIO;Diario;Estados de Cuenta;1;Estados de Cuenta;2;"CREATE (GestorBO)-[frecuencia:DIARIO{detalle:""Estados de Cuenta"", id_flujo:1, descripcion_flujo:""Estados de Cuenta"", secuencia_flujo:2}]->(Salesforce);"

2;PortalTransaccionalOnPremise;PortalTransaccionalCloud;ONLINE;Online;Dispersi¢n de pagos;2;Dispersi¢n de pagos;3;"CREATE (PortalTransaccionalOnPremise)-[frecuencia:ONLINE{detalle:""Dispersi¢n de pagos"", id_flujo:2, descripcion_flujo:""Dispersi¢n de pagos"", secuencia_flujo:3}]->(PortalTransaccionalCloud);"

3;Salesforce;SalesforceSales;ONLINE;Online;Informaci¢n de clientes;0;tbd;0;"CREATE (Salesforce)-[frecuencia:ONLINE{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(SalesforceSales);"

4;BICORR;GestorBO;DIARIO;Diario;Estados de Cuenta;1;Estados de Cuenta;1;"CREATE (BICORR)-[frecuencia:DIARIO{detalle:""Estados de Cuenta"", id_flujo:1, descripcion_flujo:""Estados de Cuenta"", secuencia_flujo:1}]->(GestorBO);"

5;BICORR;CoreCash;ONLINE;Online;Dispersi¢n de pagos;2;Dispersi¢n de pagos;1;"CREATE (BICORR)-[frecuencia:ONLINE{detalle:""Dispersi¢n de pagos"", id_flujo:2, descripcion_flujo:""Dispersi¢n de pagos"", secuencia_flujo:1}]->(CoreCash);"

6;BICORR;CoreCash;ONLINE;Online;Informaci¢n de clientes;3;Informaci¢n de clientes;1;"CREATE (BICORR)-[frecuencia:ONLINE{detalle:""Informaci¢n de clientes"", id_flujo:3, descripcion_flujo:""Informaci¢n de clientes"", secuencia_flujo:1}]->(CoreCash);"

7;CoreCash;PortalTransaccionalOnPremise;ONLINE;Online;Dispersi¢n de pagos;2;Dispersi¢n de pagos;2;"CREATE (CoreCash)-[frecuencia:ONLINE{detalle:""Dispersi¢n de pagos"", id_flujo:2, descripcion_flujo:""Dispersi¢n de pagos"", secuencia_flujo:2}]->(PortalTransaccionalOnPremise);"

8;CoreCash;PortalTransaccionalOnPremise;ONLINE;Online;Informaci¢n de clientes;3;Informaci¢n de clientes;2;"CREATE (CoreCash)-[frecuencia:ONLINE{detalle:""Informaci¢n de clientes"", id_flujo:3, descripcion_flujo:""Informaci¢n de clientes"", secuencia_flujo:2}]->(PortalTransaccionalOnPremise);"

9;CoreCash;ClientePJ;DIARIO;Diario;Informaci¢n de clientes;0;tbd;0;"CREATE (CoreCash)-[frecuencia:DIARIO{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(ClientePJ);"

10;ClientePJ;Transaccional;DIARIO;Diario;Informaci¢n de clientes;0;tbd;0;"CREATE (ClientePJ)-[frecuencia:DIARIO{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Transaccional);"

11;Transaccional;PortalTransaccionalCloud;DIARIO;Diario;Informaci¢n de clientes;0;tbd;0;"CREATE (Transaccional)-[frecuencia:DIARIO{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(PortalTransaccionalCloud);"

12;PortalTransaccionalOnPremise;Operatyba;ONLINE;Online;Informaci¢n de clientes;3;Informaci¢n de clientes;3;"CREATE (PortalTransaccionalOnPremise)-[frecuencia:ONLINE{detalle:""Informaci¢n de clientes"", id_flujo:3, descripcion_flujo:""Informaci¢n de clientes"", secuencia_flujo:3}]->(Operatyba);"

13;Operatyba;PortalTransaccionalOnPremise;ONLINE;Online;Dispersi¢n de pagos;0;tbd;0;"CREATE (Operatyba)-[frecuencia:ONLINE{detalle:""Dispersi¢n de pagos"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(PortalTransaccionalOnPremise);"

14;MiBancoCO;TybaCO;DIARIO;Diario;Saldos y Movimientos RF;0;tbd;0;"CREATE (MiBancoCO)-[frecuencia:DIARIO{detalle:""Saldos y Movimientos RF"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(TybaCO);"

15;Datalake;TybaCO;DIARIO;Diario;Saldos y Movimientos PV;0;tbd;0;"CREATE (Datalake)-[frecuencia:DIARIO{detalle:""Saldos y Movimientos PV"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(TybaCO);"

16;Operatyba;Computec;MENSUAL;Mensual;Saldos y movimientos;0;tbd;0;"CREATE (Operatyba)-[frecuencia:MENSUAL{detalle:""Saldos y movimientos"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Computec);"

17;Computec;PortalClientesCO;MENSUAL;Mensual;Extractos;0;tbd;0;"CREATE (Computec)-[frecuencia:MENSUAL{detalle:""Extractos"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(PortalClientesCO);"

18;Neffi;PortalClientesCO;MENSUAL;Mensual;Certificados Tributarios;0;tbd;0;"CREATE (Neffi)-[frecuencia:MENSUAL{detalle:""Certificados Tributarios"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(PortalClientesCO);"

19;Operatyba;Neffi;MENSUAL;Mensual;Certificados Tributarios;0;tbd;0;"CREATE (Operatyba)-[frecuencia:MENSUAL{detalle:""Certificados Tributarios"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Neffi);"

20;PowerBI_IntNeg;Excel_IntNeg;MENSUAL;Mensual;Informaci¢n de clientes;0;tbd;0;"CREATE (PowerBI_IntNeg)-[frecuencia:MENSUAL{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Excel_IntNeg);"

21;Excel_IntNeg;ODSColombia;MENSUAL;Mensual;Informaci¢n de clientes;0;tbd;0;"CREATE (Excel_IntNeg)-[frecuencia:MENSUAL{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(ODSColombia);"

22;ODSColombia;WM_Lab_CO;ONLINE;Online;Informaci¢n de clientes;0;tbd;0;"CREATE (ODSColombia)-[frecuencia:ONLINE{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(WM_Lab_CO);"

23;Orion;Excel_SaldosOrion;MENSUAL;Mensual;Saldos Comisionista;0;tbd;0;"CREATE (Orion)-[frecuencia:MENSUAL{detalle:""Saldos Comisionista"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Excel_SaldosOrion);"

24;Orion;BICORR;DIARIO;Diario;Saldos Comisionista;0;tbd;0;"CREATE (Orion)-[frecuencia:DIARIO{detalle:""Saldos Comisionista"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(BICORR);"

